t,dp1,dp2,dp3,tau1,tau2,tau3
0,0.998245421225627,-0.356224575654647,2.71653109036048,-21.906939074567,1.28884688633776,-5.71901397280967
0.01,0.990244604753393,-0.358634072928517,2.70305493539785,-21.4514243243861,1.38508445325267,-5.63458148563625
0.02,0.982243788281159,-0.361043570202388,2.68957878043522,-20.9947439706261,1.48054024594075,-5.54952602816332
0.03,0.974242971808924,-0.363453067476258,2.67610262547259,-20.5369600637046,1.57516112882024,-5.46389457530797
0.04,0.96624215533669,-0.365862564750128,2.66262647050996,-20.0781347400931,1.66889400988414,-5.37773435470015
0.05,0.958241338864456,-0.368272062023999,2.64915031554733,-19.6183302025727,1.76168586821526,-5.29109281934489
0.06,0.950240522392222,-0.370681559297869,2.6356741605847,-19.1576087005873,1.85348378157224,-5.20401762013463
0.07,0.942239705919988,-0.37309105657174,2.62219800562207,-18.6960325107007,1.94423495403742,-5.11655657822326
0.08,0.934238889447754,-0.37550055384561,2.60872185065944,-18.233663917167,2.03388674370379,-5.02875765728154
0.09,0.92623807297552,-0.377910051119481,2.59524569569681,-17.7705651926251,2.12238669038622,-4.94066893565009
0.1,0.918237256503285,-0.380319548393351,2.58176954073417,-17.3067985789232,2.20968254334246,-4.85233857840479
0.11,0.910236440031051,-0.382729045667221,2.56829338577154,-16.8424262680813,2.29572228898353,-4.76381480935266
0.12,0.902235623558816,-0.385138542941092,2.55481723080891,-16.3775103833979,2.38045417856354,-4.67514588297046
0.13,0.894234807086582,-0.387548040214962,2.54134107584628,-15.9121129607145,2.46382675582504,-4.58638005630945
0.14,0.886233990614348,-0.389957537488832,2.52786492088365,-15.446295929837,2.54578888458872,-4.49756556087715
0.15,0.878233174142114,-0.392367034762702,2.51438876592102,-14.9801210961223,2.62628977627114,-4.40875057451214
0.16,0.87023235766988,-0.394776532036573,2.50091261095839,-14.5136501222458,2.7052790173046,-4.31998319327844
